xsim_p16_q16_s0: 500 iterations, 0 extreme values filtered
                           param_name  sim_SD  sim_mean       statistic
63                    randstim_stim_A    0.74      1.93    posterior_SD
64                    randstim_stim_B    0.61      1.91    posterior_SD
65               randstim_sigma_sub_A    0.11      0.30    posterior_SD
66               randstim_sigma_sub_B    0.07      0.29    posterior_SD
67              randstim_sigma_stim_A    0.26      0.85    posterior_SD
68              randstim_sigma_stim_B    0.22      0.84    posterior_SD
69                 randstim_cond_diff    0.29      1.28    posterior_SD
70                     randstim_sigma    0.00      0.02    posterior_SD
71          b_nipymc_fixstim_stimulus    0.17      0.65  posterior_mean
72                              AR(1)    0.04      0.53  posterior_mean
73                              AR(2)    0.03      0.16  posterior_mean
74     sigma_nipymc_fixstim_subject_0    0.70      0.98  posterior_mean
75     sigma_nipymc_fixstim_subject_1    0.66      0.93  posterior_mean
76           nipymc_fixstim_cond_diff    0.38      0.44  posterior_mean
77                        sigma_y_obs    0.03      1.04  posterior_mean
78          b_nipymc_fixstim_stimulus    0.22      1.37    posterior_SD
79                              AR(1)    0.00      0.03    posterior_SD
80                              AR(2)    0.00      0.03    posterior_SD
81     sigma_nipymc_fixstim_subject_0    0.15      0.34    posterior_SD
82     sigma_nipymc_fixstim_subject_1    0.14      0.33    posterior_SD
83           nipymc_fixstim_cond_diff    0.07      0.35    posterior_SD
84                        sigma_y_obs    0.00      0.02    posterior_SD
85          b_nipymc_nostim_condition    0.33      0.98  posterior_mean
86                              AR(1)    0.05      0.58  posterior_mean
87                              AR(2)    0.03      0.15  posterior_mean
88      sigma_nipymc_nostim_subject_0    0.41      0.61  posterior_mean
89      sigma_nipymc_nostim_subject_1    0.38      0.57  posterior_mean
90            nipymc_nostim_cond_diff    0.71      0.68  posterior_mean
91                        sigma_y_obs    0.04      1.08  posterior_mean
92          b_nipymc_nostim_condition    0.24      0.50    posterior_SD
93                              AR(1)    0.00      0.03    posterior_SD
94                              AR(2)    0.00      0.03    posterior_SD
95      sigma_nipymc_nostim_subject_0    0.08      0.24    posterior_SD
96      sigma_nipymc_nostim_subject_1    0.07      0.24    posterior_SD
97            nipymc_nostim_cond_diff    0.08      0.33    posterior_SD
98                        sigma_y_obs    0.00      0.02    posterior_SD
99        b_nipymc_randstim_condition    0.29      0.85  posterior_mean
100                             AR(1)    0.04      0.50  posterior_mean
101                             AR(2)    0.03      0.15  posterior_mean
102  sigma_nipymc_randstim_stimulus_0    0.69      1.88  posterior_mean
103  sigma_nipymc_randstim_stimulus_1    0.72      1.87  posterior_mean
104   sigma_nipymc_randstim_subject_0    0.50      0.86  posterior_mean
105   sigma_nipymc_randstim_subject_1    0.48      0.82  posterior_mean
106         nipymc_randstim_cond_diff    0.59      0.58  posterior_mean
107                       sigma_y_obs    0.03      1.03  posterior_mean
108       b_nipymc_randstim_condition    0.14      0.72    posterior_SD
109                             AR(1)    0.00      0.03    posterior_SD
110                             AR(2)    0.00      0.03    posterior_SD
111  sigma_nipymc_randstim_stimulus_0    0.17      0.64    posterior_SD
112  sigma_nipymc_randstim_stimulus_1    0.18      0.63    posterior_SD
113   sigma_nipymc_randstim_subject_0    0.08      0.27    posterior_SD
114   sigma_nipymc_randstim_subject_1    0.08      0.27    posterior_SD
115         nipymc_randstim_cond_diff    0.12      0.84    posterior_SD
116                       sigma_y_obs    0.00      0.02    posterior_SD

xsim_p16_q32_s0: 500 iterations, 0 extreme values filtered
                           param_name  sim_SD  sim_mean       statistic
0                       SPM_cond_diff    1.23      2.75  test_statistic
1                   fixstim_cond_diff    1.02      2.44  test_statistic
2                    nostim_cond_diff    1.03      2.43  test_statistic
3                  randstim_cond_diff    0.96      2.29  test_statistic
4            nipymc_fixstim_cond_diff    0.38      0.21  test_statistic
5             nipymc_nostim_cond_diff    1.03      2.44  test_statistic
6           nipymc_randstim_cond_diff    0.99      2.31  test_statistic
7                       SPM_cond_diff    0.45      1.11  posterior_mean
8                          SPM_A_mean    0.33      1.12  posterior_mean
9                          SPM_B_mean    0.32      2.23  posterior_mean
10                            SPM_AR1    0.02      0.43  posterior_mean
11                            SPM_AR2    0.02      0.12  posterior_mean
12                      SPM_cond_diff    0.08      0.42    posterior_SD
13                         SPM_A_mean    0.06      0.30    posterior_SD
14                         SPM_B_mean    0.06      0.31    posterior_SD
15                            SPM_AR1    0.00      0.02    posterior_SD
